Discord ID,Wallet
404928667425308682,0x945d2b50e64a7666289a428019b18e1390791d9e
931211778115924009,0x9306b39C83e44c5fB015AaF5A9742B8608BE5123
500623795187613696,0xF28e42Bb07e8A24D15D4F8f6d703e672a80dBC90
477854445238091776,0xE10F9c661FE7FA7Eb8023FFf15B032fF89e09303
885679945714647050,0xe26322f69C04754Ba4724EDFBc1D4087A8e64256
358563677986619392,0x309d58d7bCD157017E09B50Cc03c8d316Fde7a11
908083124305559572,0xf3b91D97dF84Aa166E45Eff535FC21c2e5478A80
664071810051997707,0xb35fd339111929c31339d077336831C00A11579f
497639016636874762,0xD1D3c6B53Eb8288437c93A3987425442Eb4B75A8
679341490471698474,0x8d298ae94e653273adB41fE79B33A20f87E54434
993920014480580749,0xfDBd54a2781096EAde93664B8Ee5fA434a1c7921
928266176117743617,0xD2e0FE67954dbcA9FBDaf210E7F480eB6A640fD8
828649849129926667,0x116A5Ed06D4F895cC51e3d3F2E84Dc0eA2855b13
433564409051217920,0x97Deb755F0Ceb5D3308DA19F2A39Ebb142502660
627498599458144257,0x4E9c21B74596ceA4668cFE5b60266d1525CB6d83
376404913317740549,0xa16231D4DA9d49968D2191328102F6731Ef78FCA
521301715199328257,0x01bC97aB31Ac401787cA797a08C4dF9B69e28edE
911164708214669344,0x5ac3cc3f4e5646125f46933acB54189871d73691
935244272200974438,0xe80f13DFae5A16a73433a0B51991641193cB6C91
419666984519598081,0x674A749dC94C1a92AD7c149661D97F2C168C62c2
845706794080403496,0x738BE41e7AF23001515C75f16f5c51E934984b97
507774460858728469,0x673D83730c9c52C2DBE95556050F4bd7c5283c0B
879732964483825674,0x838D504AC5eA9D7d04dcFfd539B341f5fC70Dc21
917408187911667803,0x221559D5db59070437b7FcBC14779E6DED63b5bD
358583726092976139,0x5a01feb1100f52Fc67A474A610FFE3DB549E7b7B
699597056410517525,0x34259a265191B05a3218D4500856074B8572aCCB
942008476643766292,0x6F4De7007942523C22666a82Ae058cf969665300
891212035977797743,0x6b6f9c634769dfb2e7A44A43d5658a28922CEA04
910501858404093972,0x3C04182610360586237ba23BEF2dfeB146962eb2
826705077779300372,0x52FB778d1f5F4B4c45688336D9007d5774Bc8EB9
344620200001273859,0xbff730a89e4f3e0e9fe048babb71eb6d709e9e0e
927930683224113153,0x7c673982FFa8aFD3b3F5BA62aCA65A698E53Cf95
